Product,price,description,user_id,quantity ,image
Apple,1.00,Honey Crisp,2,30,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Banana,0.25,Perfectly ripe,2,50,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Rainier Cherries,2.99,Sweet and juicy,2,30,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Green Grapes,2.00,"
A great energy source because of their natural fruit sugar content",2,300,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Grapefruit,1.00,"One of the largest citrus fruit, grapefruits are a cross between the pomelo and the shaddock. High in vitamin C, grapefruits are best eaten raw, a traditional breakfast fruit. The best way to eat is to cut them in half and scoop out the flesh with a spoon.",2,10,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Kumquat,0.50,"The name means ""golden orange"" in Chinese. Kumquats are often preserved in sweet syrup and used for marmalade and garnishes, but fresh ones are delicious in fruit salads or for eating just as they are.",2,80,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Lemon,0.25,"Rarely eaten on its own, lemons are an indispensable ingredient in the kitchen. Lemon juice can be used instead of vinegar in sauces, for seasoning in vinaigrette and as instant dressing for fish and shellfish. The best way to store lemon is in the vegetable crisper in the fridge you can put lemons in fruit bowl for a shorter, check them often - if one starts to spoil, the rest will quickly follow.",2,15,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Pineapple,3.00,"Derived from the Spanish word 'pina' meaning pine cone. Pineapples have a juicy, sweet-but sometimes slightly tart-fragrant flavour. They are best eaten fresh, serve pineapple flesh in slices, wedges or chunks. It is also available in cans, dried and glace. A good source of vitamin C.",2,14,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Plums,1.25,"Plums contain more antioxidant than any other fruit. Plums are delicate so make sure that the one you buy are unblemished, and they should be plump and firm. The small sugar plum is dried to make prunes. Delicious stewed, plums are also ideal for making chutneys.",2,16,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Start Apple,1.15,"The star apple fruits are green to purple with a smooth skin. When sliced horizontally the flesh is translucent white with the seeds forming a star shape. It is best eaten ripe, scooped straight from the skin. It is ripe when soft and should be eaten immediately, but it is still alright to refrigerate for a few days.",2,45,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
